,,Disease Name,
http://babelnet.org/rdf/page/s08686955n,s08686955n,,
http://babelnet.org/rdf/page/s08729733n,s08729733n,,
http://babelnet.org/rdf/page/s07881368n,s07881368n,,
http://babelnet.org/rdf/page/s24738762n,s24738762n,,
http://babelnet.org/rdf/page/s05564373n,s05564373n,,
http://babelnet.org/rdf/page/s07561897n,s07561897n,,
http://babelnet.org/rdf/page/s05889001n,s05889001n,,
http://babelnet.org/rdf/page/s08600492n,s08600492n,,
http://babelnet.org/rdf/page/s24394267n,s24394267n,,
http://babelnet.org/rdf/page/s15245994n,s15245994n,,
http://babelnet.org/rdf/page/s05317135n,s05317135n,,
http://babelnet.org/rdf/page/s06248540n,s06248540n,,
http://babelnet.org/rdf/page/s05575096n,s05575096n,,
http://babelnet.org/rdf/page/s05188613n,s05188613n,, 
